dish_ID,dish_name,cluster
17700,五柳蔬菜羹全素,1
17702,雜糧蔥燒包,4
17708,魔力大理石戚風蛋糕,0
17709,魔力蔬菜料理茄燒豆腐可變成素食,4
17712,菲個人煮義清爽蒸魚,2
17713,雞鬆飯,3
17716,厚生廚房月見龍鬚菜,1
17717,小資女的俗擱大碗咖哩飯,4
17719,小資女的俗擱大碗煎餃,3
17723,醬炒芹菜豆乾,2
17728,米奇廚房鮪魚玉米三明治糖果卷,3
17729,蒜炒鹹豬肉,1
17730,特調香料咖哩雞肉,2
17735,醬燒豆腐,3
17736,我的療癒系食補皮蛋瘦肉粥,4
17739,辣味雞心,3
17745,凱莉貓幸福便當獻上我的一顆心,1
17753,芝麻脆乾,3
17757,營養滿分鮪魚洋蔥馬鈴薯沙拉,4
17759,港式翡翠煎餅,4
17766,鳳梨爽,3
17771,幸福海物香煎台灣薄鹽鯖魚,3
17781,蜂蜜地瓜蛋糕,0
17788,檸檬糖霜蛋糕,0
17794,梅漬茄子,1
17795,開動野蒜青醬簡易版ä,1
17801,陽光廚房焗烤義式千層麵,2
17804,韓式辣炒年糕,4
17814,麥克雞塊吃不得自己動手最安心,0
17818,ㄚ曼達的廚房厚燒餅,0
17822,ㄚ曼達的廚房燒餅,0
17829,我的手作料理黑糖十穀麵包,0
17834,ㄚ曼達的廚房聰明鮪魚,4
17836,麻油乾煸麵線,1
17839,自己做麵條,4
17840,黑糖饅頭,0
17851,厚生廚房蘿蔔芋頭雞湯,4
17856,阿不廚房小烤箱做牛奶棒,0
17858,阿不廚房小烤箱做杯子海綿蛋糕另有大烤箱四種材料三步驟超簡單,0
17861,宛の美好食光梅汁排骨,4
17879,7食日式野菇炸豆腐,4
17882,蘋果奶酥,3
17895,用起士片做乳酪蛋糕,0
17902,力力和風沖繩炒苦瓜ゴーヤチャンプル,1
17903,歐姆蛋,4
17908,我的手作料理西班牙烘蛋,4
17919,厚生廚房清炒油菜,1
17923,羅勒番茄肉醬,2
17931,許效有約涼拌檸檬鮮蝦,1
17934,許效有約鮮菇蒜炒秋葵,2
17935,許效有約迷迭香照燒雞翅,1
17937,許效有約藥燉玉米排骨湯,1
17939,許效有約壽喜肉燥韓國冬粉,4
17940,許效有約魚漿鮮蔬五穀粥,1
17945,蔓越莓糖霜小餅乾,0
17963,許效有約秋葵蔬菜丁肉燥,4
17965,親子丼,4
17966,核桃蔓越莓起司饅頭,0
17968,許效有約苦瓜炒鹹蛋,4
17969,許效有約醬燒香煎豆腐,4
